time_stamp,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Direction,Pressure,Precipitable Water,Relative Humidity
2015-01-01 00:00:00,2015,1,1,0,0,0,0,0,1.6,-3,0,163.68,0.129,254.0,1000,0.378,73.5
2015-01-01 00:30:00,2015,1,1,0,30,0,0,0,1.6,-3,0,163.45000000000002,0.129,254.0,1000,0.381,73.5
2015-01-01 01:00:00,2015,1,1,1,0,0,0,0,1.6,-3,0,160.95000000000002,0.129,242.9,1000,0.385,73.68
2015-01-01 01:30:00,2015,1,1,1,30,0,0,0,1.6,-3,0,156.92000000000002,0.129,242.9,1000,0.382,73.67
2015-01-01 02:00:00,2015,1,1,2,0,0,0,0,1.7000000000000002,-3,0,152.03,0.129,235.4,1000,0.38,73.72
2015-01-01 02:30:00,2015,1,1,2,30,0,0,0,1.7000000000000002,-3,0,146.67000000000002,0.129,235.4,1000,0.38,73.71000000000001
2015-01-01 03:00:00,2015,1,1,3,0,0,0,0,1.7000000000000002,-3,0,141.06,0.129,234.2,1000,0.38,74.27
2015-01-01 03:30:00,2015,1,1,3,30,0,0,0,1.6,-3,0,135.31,0.129,234.2,1000,0.381,74.25
2015-01-01 04:00:00,2015,1,1,4,0,0,0,0,1.6,-4,0,129.51,0.129,232.1,1000,0.382,80.47
2015-01-01 04:30:00,2015,1,1,4,30,0,0,0,1.6,-4,0,123.69,0.129,232.1,1000,0.386,80.46000000000001
2015-01-01 05:00:00,2015,1,1,5,0,0,0,0,1.7000000000000002,-4,0,117.91,0.129,228.4,1000,0.391,80.60000000000001
2015-01-01 05:30:00,2015,1,1,5,30,0,0,0,1.8,-4,0,112.18,0.129,228.4,1000,0.399,80.62
2015-01-01 06:00:00,2015,1,1,6,0,0,0,0,1.9,-4,0,106.55,0.129,226.6,1000,0.408,80.63
2015-01-01 06:30:00,2015,1,1,6,30,0,0,0,2.0,-4,0,101.04,0.129,226.6,1000,0.41,80.64
2015-01-01 07:00:00,2015,1,1,7,0,0,0,0,2.1,-4,0,95.68,0.129,223.6,1000,0.413,80.77
2015-01-01 07:30:00,2015,1,1,7,30,0,0,0,2.4000000000000004,-3,0,90.52,0.129,223.6,1000,0.41,74.96000000000001
2015-01-01 08:00:00,2015,1,1,8,0,57,24,423,2.7,-2,0,85.60000000000001,0.129,220.0,1000,0.408,70.54
2015-01-01 08:30:00,2015,1,1,8,30,135,39,612,3.0,-1,0,80.96000000000001,0.129,220.0,1000,0.41,65.55
2015-01-01 09:00:00,2015,1,1,9,0,217,49,728,3.3000000000000003,0,0,76.67,0.129,226.7,1000,0.413,58.35
2015-01-01 09:30:00,2015,1,1,9,30,293,56,801,3.5,0,0,72.79,0.129,226.7,1000,0.417,58.34
2015-01-01 10:00:00,2015,1,1,10,0,360,60,852,3.7,1,0,69.4,0.129,233.7,1000,0.422,51.66
2015-01-01 10:30:00,2015,1,1,10,30,416,64,885,3.7,1,0,66.57000000000001,0.129,233.7,1000,0.424,51.620000000000005
2015-01-01 11:00:00,2015,1,1,11,0,459,65,912,3.8,2,0,64.38,0.129,236.2,1000,0.427,49.68
2015-01-01 11:30:00,2015,1,1,11,30,488,66,925,3.8,2,0,62.9,0.129,236.2,1000,0.427,49.64
2015-01-01 12:00:00,2015,1,1,12,0,502,67,933,3.8,3,0,62.18,0.129,235.7,1000,0.427,48.39
2015-01-01 12:30:00,2015,1,1,12,30,501,67,932,3.7,3,0,62.24,0.129,235.7,1000,0.431,48.36
2015-01-01 13:00:00,2015,1,1,13,0,484,67,920,3.7,3,0,63.1,0.129,234.6,1000,0.435,47.41
2015-01-01 13:30:00,2015,1,1,13,30,452,65,905,3.4000000000000004,3,0,64.7,0.129,234.6,1000,0.444,47.39
2015-01-01 14:00:00,2015,1,1,14,0,340,96,623,3.1,4,4,67.0,0.129,231.0,1000,0.453,50.9
2015-01-01 14:30:00,2015,1,1,14,30,281,94,546,2.4000000000000004,3,4,69.93,0.129,231.0,1000,0.469,54.6
2015-01-01 15:00:00,2015,1,1,15,0,279,55,783,1.8,3,0,73.41,0.129,225.2,1000,0.486,63.190000000000005
2015-01-01 15:30:00,2015,1,1,15,30,201,48,703,1.7000000000000002,1,0,77.36,0.129,225.2,1000,0.505,72.86
2015-01-01 16:00:00,2015,1,1,16,0,120,37,580,1.6,0,0,81.72,0.129,224.1,1000,0.525,77.73
2015-01-01 16:30:00,2015,1,1,16,30,44,21,370,1.7000000000000002,0,0,86.4,0.129,224.1,1000,0.55,77.74
2015-01-01 17:00:00,2015,1,1,17,0,0,0,0,1.9,0,0,91.37,0.129,230.2,1000,0.5760000000000001,75.01
2015-01-01 17:30:00,2015,1,1,17,30,0,0,0,1.9,0,0,96.57,0.129,230.2,1000,0.602,75.03
2015-01-01 18:00:00,2015,1,1,18,0,0,0,0,2.0,0,0,101.95,0.129,237.6,1000,0.628,77.28
2015-01-01 18:30:00,2015,1,1,18,30,0,0,0,1.9,0,0,107.49,0.129,237.6,1000,0.641,77.29
2015-01-01 19:00:00,2015,1,1,19,0,0,0,0,1.8,0,0,113.14,0.129,242.3,1000,0.655,78.97
2015-01-01 19:30:00,2015,1,1,19,30,0,0,0,1.7000000000000002,0,0,118.87,0.129,242.3,1000,0.654,78.97
2015-01-01 20:00:00,2015,1,1,20,0,0,0,0,1.7000000000000002,0,4,124.66,0.129,245.0,1000,0.654,80.19
2015-01-01 20:30:00,2015,1,1,20,30,0,0,0,1.6,0,0,130.48,0.129,245.0,1000,0.646,80.2
2015-01-01 21:00:00,2015,1,1,21,0,0,0,0,1.6,-1,4,136.27,0.129,246.2,1000,0.639,86.79
2015-01-01 21:30:00,2015,1,1,21,30,0,0,0,1.5,-1,4,142.0,0.129,246.2,1000,0.631,86.81
2015-01-01 22:00:00,2015,1,1,22,0,0,0,0,1.5,-1,0,147.57,0.129,249.1,1000,0.623,87.55
2015-01-01 22:30:00,2015,1,1,22,30,0,0,0,1.4,-1,4,152.86,0.129,249.1,1000,0.613,87.55
2015-01-01 23:00:00,2015,1,1,23,0,0,0,0,1.4,-1,8,157.63,0.129,255.8,1000,0.604,87.78
2015-01-01 23:30:00,2015,1,1,23,30,0,0,0,1.3,-1,4,161.44,0.129,255.8,1000,0.602,87.78
2015-01-02 00:00:00,2015,1,2,0,0,0,0,0,1.3,-1,4,163.59,0.129,260.8,1000,0.6,87.93
