time_stamp,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Direction,Pressure,Precipitable Water,Relative Humidity
2017-01-01 00:00:00,2017,1,1,0,0,0,0,0,1.7000000000000002,0,4,163.63,0.129,225.9,990,1.353,86.28
2017-01-01 00:30:00,2017,1,1,0,30,0,0,0,1.6,0,4,163.42000000000002,0.129,225.9,990,1.28,86.29
2017-01-01 01:00:00,2017,1,1,1,0,0,0,0,1.6,0,1,160.94,0.129,228.3,990,1.208,85.35000000000001
2017-01-01 01:30:00,2017,1,1,1,30,0,0,0,1.5,0,1,156.93,0.129,228.3,1000,1.134,85.38
2017-01-01 02:00:00,2017,1,1,2,0,0,0,0,1.5,0,0,152.04,0.129,231.0,1000,1.061,85.42
2017-01-01 02:30:00,2017,1,1,2,30,0,0,0,1.4,0,0,146.69,0.129,231.0,1000,1.029,85.45
2017-01-01 03:00:00,2017,1,1,3,0,0,0,0,1.4,0,0,141.08,0.129,238.0,1000,0.997,86.4
2017-01-01 03:30:00,2017,1,1,3,30,0,0,0,1.3,0,1,135.34,0.129,238.0,1000,0.98,86.43
2017-01-01 04:00:00,2017,1,1,4,0,0,0,0,1.3,-1,4,129.53,0.129,246.2,1000,0.964,94.82
2017-01-01 04:30:00,2017,1,1,4,30,0,0,0,1.3,-1,4,123.72,0.129,246.2,1000,0.955,94.87
2017-01-01 05:00:00,2017,1,1,5,0,0,0,0,1.3,-1,4,117.93,0.129,254.3,1000,0.947,97.77
2017-01-01 05:30:00,2017,1,1,5,30,0,0,0,1.2000000000000002,-1,1,112.21,0.129,254.3,1000,0.944,97.82
2017-01-01 06:00:00,2017,1,1,6,0,0,0,0,1.2000000000000002,-1,4,106.57,0.129,259.0,1000,0.941,100.0
2017-01-01 06:30:00,2017,1,1,6,30,0,0,0,1.1,-1,4,101.06,0.129,259.0,1000,0.938,100.0
2017-01-01 07:00:00,2017,1,1,7,0,0,0,0,1.1,-1,8,95.7,0.129,265.7,1000,0.935,100.0
2017-01-01 07:30:00,2017,1,1,7,30,0,0,0,1.0,0,8,90.53,0.129,265.7,1000,0.937,96.41
2017-01-01 08:00:00,2017,1,1,8,0,37,28,105,1.0,1,4,85.60000000000001,0.129,277.90000000000003,1000,0.94,97.75
2017-01-01 08:30:00,2017,1,1,8,30,90,60,192,1.2000000000000002,2,8,80.96000000000001,0.129,277.90000000000003,1000,0.945,91.05
2017-01-01 09:00:00,2017,1,1,9,0,146,90,240,1.5,4,8,76.67,0.129,297.3,1000,0.95,84.4
2017-01-01 09:30:00,2017,1,1,9,30,199,118,274,1.6,5,8,72.79,0.129,297.3,1000,0.953,78.74
2017-01-01 10:00:00,2017,1,1,10,0,246,132,326,1.7000000000000002,6,8,69.39,0.129,319.6,1000,0.957,71.29
2017-01-01 10:30:00,2017,1,1,10,30,334,113,554,1.7000000000000002,7,8,66.55,0.129,319.6,1000,0.956,71.29
2017-01-01 11:00:00,2017,1,1,11,0,352,142,485,1.8,8,8,64.35,0.129,321.8,1000,0.955,66.43
2017-01-01 11:30:00,2017,1,1,11,30,399,124,601,1.7000000000000002,8,8,62.86,0.129,321.8,1000,0.949,66.42
2017-01-01 12:00:00,2017,1,1,12,0,397,147,535,1.6,9,8,62.14,0.129,311.70000000000005,1000,0.944,62.04
2017-01-01 12:30:00,2017,1,1,12,30,434,93,731,1.4,9,8,62.2,0.129,311.70000000000005,1000,0.937,62.04
2017-01-01 13:00:00,2017,1,1,13,0,394,126,591,1.2000000000000002,9,8,63.04,0.129,305.7,1000,0.93,62.75
2017-01-01 13:30:00,2017,1,1,13,30,398,79,745,1.0,9,8,64.64,0.129,305.7,1000,0.926,62.76
2017-01-01 14:00:00,2017,1,1,14,0,388,77,793,0.8,9,1,66.94,0.129,299.8,1000,0.923,59.47
2017-01-01 14:30:00,2017,1,1,14,30,332,72,753,0.6000000000000001,9,1,69.87,0.129,299.8,1000,0.926,63.61
2017-01-01 15:00:00,2017,1,1,15,0,265,66,693,0.4,9,8,73.34,0.129,321.6,1000,0.929,69.28
2017-01-01 15:30:00,2017,1,1,15,30,190,56,609,0.6000000000000001,8,1,77.29,0.129,321.6,1000,0.928,74.14
2017-01-01 16:00:00,2017,1,1,16,0,113,43,481,0.8,7,1,81.65,0.129,54.900000000000006,1000,0.927,70.62
2017-01-01 16:30:00,2017,1,1,16,30,41,24,270,1.0,6,1,86.33,0.129,54.900000000000006,1000,0.931,75.67
2017-01-01 17:00:00,2017,1,1,17,0,0,0,0,1.2000000000000002,5,0,91.3,0.129,77.7,1000,0.935,74.96000000000001
