time_stamp,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Direction,Pressure,Precipitable Water,Relative Humidity
2016-01-01 00:00:00,2016,1,1,0,0,0,0,0,1.1,2,8,163.71,0.123,323.0,1000,0.933,94.73
2016-01-01 00:30:00,2016,1,1,0,30,0,0,0,1.1,2,8,163.46,0.123,323.0,1000,0.927,94.73
2016-01-01 01:00:00,2016,1,1,1,0,0,0,0,1.1,2,8,160.96,0.123,318.8,1000,0.921,91.83
2016-01-01 01:30:00,2016,1,1,1,30,0,0,0,1.1,1,8,156.92000000000002,0.123,318.8,1000,0.919,91.82
2016-01-01 02:00:00,2016,1,1,2,0,0,0,0,1.2000000000000002,1,8,152.02,0.123,315.90000000000003,1000,0.918,90.71
2016-01-01 02:30:00,2016,1,1,2,30,0,0,0,1.2000000000000002,1,8,146.66,0.123,315.90000000000003,1000,0.914,97.43
2016-01-01 03:00:00,2016,1,1,3,0,0,0,0,1.3,1,8,141.05,0.123,311.3,1000,0.91,95.31
2016-01-01 03:30:00,2016,1,1,3,30,0,0,0,1.4,1,6,135.3,0.123,311.3,1000,0.898,95.3
2016-01-01 04:00:00,2016,1,1,4,0,0,0,0,1.5,1,6,129.5,0.123,308.90000000000003,1000,0.887,91.59
2016-01-01 04:30:00,2016,1,1,4,30,0,0,0,1.6,1,6,123.68,0.123,308.90000000000003,1000,0.879,91.59
2016-01-01 05:00:00,2016,1,1,5,0,0,0,0,1.7000000000000002,1,6,117.9,0.123,306.8,1000,0.871,87.58
2016-01-01 05:30:00,2016,1,1,5,30,0,0,0,1.5,1,6,112.17,0.123,306.8,1000,0.873,87.57000000000001
2016-01-01 06:00:00,2016,1,1,6,0,0,0,0,1.4,1,6,106.54,0.123,305.0,1000,0.875,86.35000000000001
2016-01-01 06:30:00,2016,1,1,6,30,0,0,0,1.3,1,6,101.03,0.123,305.0,1000,0.869,86.35000000000001
2016-01-01 07:00:00,2016,1,1,7,0,0,0,0,1.3,1,6,95.68,0.123,301.2,1000,0.864,85.96000000000001
2016-01-01 07:30:00,2016,1,1,7,30,0,0,0,1.5,1,6,90.51,0.123,301.2,1000,0.843,85.95
2016-01-01 08:00:00,2016,1,1,8,0,15,15,0,1.7000000000000002,1,8,85.59,0.123,300.8,1000,0.8230000000000001,85.28
2016-01-01 08:30:00,2016,1,1,8,30,37,37,0,2.0,1,8,80.96000000000001,0.123,300.8,1000,0.8,85.28
2016-01-01 09:00:00,2016,1,1,9,0,60,60,0,2.4000000000000004,2,8,76.67,0.123,298.6,1000,0.779,76.46000000000001
2016-01-01 09:30:00,2016,1,1,9,30,82,82,0,2.8000000000000003,2,8,72.8,0.123,298.6,1000,0.758,76.45
2016-01-01 10:00:00,2016,1,1,10,0,102,102,0,3.2,3,8,69.41,0.123,296.40000000000003,1000,0.737,68.98
2016-01-01 10:30:00,2016,1,1,10,30,183,163,51,3.3000000000000003,3,8,66.58,0.123,296.40000000000003,1000,0.737,68.96000000000001
